Date,Project Name,Agreement #:,Quote Deadline,Decision Deadline,Shipping Budget,Decision Status,Official 3PL Outbound Decision,Official 3PL Inbound Decision,Offical 3PL Notified? Y/N,BOL Status,Logistics Status,Project Address,State Project is in,Meal Count,Meal Type,Shipping Quote Form Made?,Total  Miles (Each Way),Total Miles (Round Trip),Warehouse Packing Deadline,Outbound Delivery Date,Weekday #,Weekend Delivery,Outbound Liftgate? Yes or No,Outbound Volume,FTL (10 or more),Outbound Weight ,OB Quote #1- Company,OB Quote #1- Cost,OB Quote #2- Company,OB Quote #2- Cost,OB Quote #3- Company,OB Quote #3- Cost,Outbound Quote Final,Inbound Warehouse ,Inbound Pickup Date,Weekday #,Weekend Delivery,Inbound Pickup Liftgate?,Inbound Volume,FTL (10 or more),Inbound Weight,Inbound Quote #1- Company,Inbound Quote #1- Cost,Inbound Quote #2- Company,Inbound Quote #2- Cost,Inbound Quote #3- Company,Inbound Quote #3- Cost,Inbound Quote Final
5/16/2019,Voya Day Of Service- Windsor,3224,4/25/2019,5/9/2019,"$1,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"1 Orange Way, Windsor CT 06095",CT,"15,000",Hamburger Hero,Yes,918,"1,836",5/6/2019,5/15/2019,4,FALSE,No,2,n,"2,800",Astra,$637.67,CH,$789.00,FedEx,$547.22,$547.22,IL,5/16/2019,5,FALSE,No,2,n,"1,600",Astra,$308.31,CH,$287.00,FedEx,$344.28,$287.00
5/16/2019,Cheers Events,3237,4/25/2019,5/9/2019,$600.00,Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"Hyatt Regency Clearwater Beach 301 S Gulfview Blvd, Clearwater FL 33767",FL,"30,000",RLJ,Yes,123,246,5/10/2019,5/16/2019,5,FALSE,No,3,n,"6,000",Astra,$475.00,CH,$522.79,Priority1,$400.00,$400.00,FL,5/16/2019,5,FALSE,No,2,n,"2,000",Astra,$475.00,CH,$128.76,Priority1,$190.75,$128.76
5/19/2019,Chick-fil-a: Richmond Area Cookie Promotion,3178,4/28/2019,5/12/2019,"$2,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"Atlas 42 4032 Cox Rd Suite A, Glen Allen VA 23060",VA,"33,000",Hamburger Hero,Yes,811,"1,622",5/8/2019,5/17/2019,6,FALSE,Yes,5,n,"5,250",Astra,$832.74,CH,"$1,142.37",FedEx,$619.49,$619.49,IL,5/20/2019,2,FALSE,Yes,3,n,"2,500",Astra,$518.54,CH,$538.77,FedEx,$389.28,$389.28
5/21/2019,Citi - Rye Brook,3183,4/30/2019,5/14/2019,"$2,375.00",Complete,Astra,Astra,Y,Obtained,Complete,"Hilton Westchester 699 Westchester Ave, Rye Brook, NY 10573",NY,"37,500",Hamburger Hero,Yes,835,"1,670",5/9/2019,5/20/2019,2,FALSE,Yes,5,n,"5,002",Astra,$856.28,CH,"$1,069.65",FedEx,$632.55,$632.55,IL,5/22/2019,4,FALSE,No,2,n,"1,963",Astra,$476.44,CH,$408.86,FedEx,$320.08,$320.08
5/22/2019,Citi Global Community Day - Gray,3105,5/1/2019,5/15/2019,"$2,600.00",Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"541 Sid Martin Rd, Gray, TN 37615",TN,"40,000",Hamburger Hero,Yes,609,"1,218",5/9/2019,5/21/2019,3,FALSE,Yes,4,n,"4,985",Astra,$730.00,CH,$784.32,FedEx,$482.81,$482.81,IL,5/22/2019,4,FALSE,Yes,2,n,"1,747",Astra,$370.00,CH,$328.87,FedEx,$200.45,$200.45
5/22/2019,Celgne Hunger Project,3236,5/1/2019,5/15/2019,"$3,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"86 Morris Ave, Summit NJ 07901",NJ,"40,000",RLJ,Yes,793,"1,586",5/10/2019,5/21/2019,3,FALSE,Yes,4,n,"7,750",Astra,"$1,278.73",CH,"$1,370.26",FedEx,$905.96,$905.96,IL,5/22/2019,4,FALSE,Yes,4,n,"7,750",Astra,$998.78,CH,$977.88,FedEx,$814.43,$814.43
5/24/2019,Charles Schwab- Fort Worth,3197,5/3/2019,5/17/2019,$0.00,Complete,DSA,DSA,Y,Obtained,Complete,"4600 Alliance Gateway Freeway, Fort Worth TX 76177",TX,"15,000",Hamburger Hero,Yes,33,66,5/20/2019,5/23/2019,5,FALSE,No,4,n,"4,600",DSA,$242.50,Using DSA,,Using DSA,,$242.50,DFW,5/24/2019,6,FALSE,No,2,n,"3,600",DSA,$242.50,Using DSA,,Using DSA,,$242.50
5/29/2019,Vikings All Staff Volunteer Event,3250,5/8/2019,5/22/2019,$0.00,Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"Boys & Girls Club 701 E 39th Street, Minneapolis, MN 55407 ",MN,"35,000",IVP,Yes,399,798,5/17/2019,5/28/2019,3,FALSE,Yes,5,n,"5,600",Astra,$816.27,CH,"$1,056.46",FedEx,$431.43,$431.43,IL,5/29/2019,4,FALSE,Yes,3,n,"2,600",Astra,$563.14,CH,$407.85,FedEx,$275.28,$275.28
5/31/2019,Hilton 100th Anniversary Celebration,3243,5/10/2019,5/24/2019,$500.00,Complete,DSA,DSA,Y,Obtained,Complete,"Hilton Anatole 2201 N Stemmons Fwy, Dallas TX 75207",TX,"55,000",IVP,Yes,18,36,5/27/2019,5/30/2019,5,FALSE,No,8,n,"8,100",DSA,$262.50,CH,$310.00,Astra,$507.30,$262.50,DFW,5/31/2019,6,FALSE,No,3,n,"3,600",DSA,$262.50,CH,$178.86,Astra,$324.25,$178.86
6/2/2019,Kings Street Church HP,3229,5/12/2019,5/26/2019,"$2,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"King Street Church 56 N 2nd St, Chambersburg PA 17201",PA,"30,000",IVP,Yes,642,"1,284",5/22/2019,5/30/2019,5,FALSE,Yes,4,n,"4,500",Astra,$906.99,CH,$971.88,FedEx,$556.63,$556.63,IL,5/30/2019,5,FALSE,Yes,2,n,"2,100",Astra,$489.90,CH,$399.98,FedEx (Q: 1184186027),$292.68,$292.68
6/5/2019,Citi Global Community Day- Sioux Falls,3107,5/15/2019,5/29/2019,"$4,000.00",Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"701 E. 60th St. N., Sioux Falls SD 57104",SD,"100,000",RLJ,Yes,559,"1,118",5/24/2019,6/4/2019,3,FALSE,No,7,n,"17,100",Astra,"$1,589.00",CH,"$1,335.00",FedEx (Q:1184205191),"$1,187.52","$1,187.52",IL,6/6/2019,5,FALSE,No,2,n,"3,600",Astra,$590.54,CH,$478.85,FedEx (Q: 1184213958),$335.82,$335.82
6/6/2019,Citi Global Community Day- Buffalo,3104,5/16/2019,5/30/2019,"$2,000.00",Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"540 Crosspoint, Getzville, NY 14068 ",NY,"25,000",IVP,Yes,563,"1,126",5/29/2019,6/5/2019,4,FALSE,No,3,n,"3,600",Astra,"$1,073.85",CH,$616.76,FedEx (Q: 1184219395),$350.42,$350.42,IL,6/6/2019,5,FALSE,No,2,n,"1,600",Astra,$424.87,CH,$237.77,FedEx (Q: 1184222031),$200.29,$200.29
6/6/2019,Pittsburg Steelers,3258,5/16/2019,5/30/2019,$0.00,Complete,Astra,Astra,Y,Obtained,Complete,"3400 South Water Street, Pittsburg PA 15203",PA,"15,000",IVP,Yes,482,964,5/24/2019,6/5/2019,4,FALSE,Yes,3,n,"2,900",Astra,$650.63,CH,$637.54,N/A (Must Use Box Truck),,$637.54,IL,6/6/2019,5,FALSE,Yes,2,n,"1,750",Astra,$273.12,CH,$307.99,N/A (Must Use Box Truck),-,$273.12
